id;hs4_id;hs6;label;present;meta;updated_at
80;13;020752;- - Non découpés en morceaux, congelés;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:43:18.023709"", ""parser_version"": ""v1.3""}";2026-01-20 15:44:21.078361
82;13;020754;- - Autres, frais ou réfrigérés;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:45:04.108605"", ""parser_version"": ""v1.3""}";2026-01-20 15:46:00.896744
84;13;020760;- De pintades;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:46:20.462510"", ""parser_version"": ""v1.3""}";2026-01-20 15:47:26.724496
81;13;020753;- - Foies gras, frais ou réfrigérés;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:43:43.523029"", ""parser_version"": ""v1.3""}";2026-01-20 15:45:16.895782
100;16;021099;- - - - - Autres;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T17:11:45.458742"", ""parser_version"": ""v1.3""}";2026-01-20 16:12:44.411699
112;18;030219;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T17:29:49.982445"", ""parser_version"": ""v1.3""}";2026-01-20 16:31:08.067310
85;14;020810;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:53:11.933767"", ""parser_version"": ""v1.3""}";2026-01-20 15:53:56.792138
91;15;020910;- De porc;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T17:05:21.174422"", ""parser_version"": ""v1.3""}";2026-01-20 16:06:04.180885
98;16;021092;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T17:08:28.948173"", ""parser_version"": ""v1.3""}";2026-01-20 16:10:44.528138
87;14;020840;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:55:43.830962"", ""parser_version"": ""v1.3""}";2026-01-20 15:56:26.524577
107;17;030195;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T17:22:03.835872"", ""parser_version"": ""v1.3""}";2026-01-20 16:22:51.151837
102;17;030111;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T17:16:55.773863"", ""parser_version"": ""v1.3""}";2026-01-20 16:18:09.445718
96;16;021020;- Viandes de l'espèce bovine£- - - de l'espèce bovine domestique :;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T17:07:04.388146"", ""parser_version"": ""v1.3""}";2026-01-20 16:07:46.374527
88;14;020850;NA;True;"{""lang"": ""fr"", ""source"": ""ADII"", ""scraped_at"": ""2026-01-20T16:59:15.196135"", ""parser_version"": ""v1.3""}";2026-01-20 15:59:55.116915
